protein,protein_id,gene,db_xref,gene_ref
probable glutathione S-transferase,XP_008390719.1,LOC103452974,103452974,XM_008392497
CASP-like protein 5A2,XP_008359277.1,LOC103422988,103422988,XM_008361055
"phosphoribosylformylglycinamidine cyclo-ligase, chloroplastic/mitochondrial-like",XP_008378571.1,LOC103441658,103441658,XM_008380349
