Gene Ref,Centrality Score
"XM_008359318,1",1.0
"XM_008392645,1",0.9776368189275717
"XM_008347928,1",0.9715222898364906
"XM_008346127,1",0.969548677125089
"XM_008375822,1",0.9653359132516167
"XM_008392497,1",0.9651215940793828
"XM_008361055,1",0.9543636685388248
"XM_008393407,1",0.9492603298663247
"XM_008343281,1",0.9479578917013856
"XM_008340249,1",0.9475709432336751
"XM_008348542,1",0.9218878911197901
"XM_008344638,1",0.9134303891527699
"JN381497,1",0.9084297809746857
"XM_008392118,1",0.9065250085386004
"XM_008357031,1",0.9027485721611915
"XM_008352977,1",0.899133202152497
"XM_008377122,1",0.8965324196925929
"XM_008382862,1",0.8924033546604568
"XM_008377120,1",0.8840222100735137
"XM_008367891,1",0.8820363945168013
"XM_008364242,1",0.8777603830124725
"XM_008358077,1",0.869647025444491
"XM_008358718,1",0.8664773489427986
"XM_008348226,1",0.8598254404647988
"XM_008352749,1",0.8539435530981255
"XM_008348256,1",0.838309519576931
"XM_008380349,1",0.8344506994020351
"XM_008378026,1",0.8312790602592307
"NM_001293983,1",0.8312790602592306
"XM_008392658,1",0.8280977115786446
"XM_008360876,1",0.8274178149665797
"XM_008349204,1",0.8215113870393707
"XM_008389619,1",0.8155459550789145
"XM_008370181,1",0.8063804916589591
"XM_008375050,1",0.7881718728990195
"XM_008395973,1",0.7441279591709319
"XM_008378954,1",0.7372343455789294
"XM_008391412,1",0.7367396541968725
"XM_008372268,1",0.7283726842460948
"XM_008387564,1",0.7156384310997035
"XM_008375192,1",0.7090244088081069
"XM_008370383,1",0.6987304729985552
"XM_008395429,1",0.696714252940548
"XM_008375174,1",0.6962347649756753
"XM_008364214,1",0.694995322003515
"XM_008353031,1",0.6949037031982891
"XM_008352864,1",0.693766159793843
"XM_008352752,1",0.6727571556761467
"XM_008378862,1",0.6724791441426448
"XM_008351661,1",0.6684149814679219
"XM_008342489,1",0.6661363003515748
"XM_008368498,1",0.6590351099648719
"XM_008381409,1",0.6455842957182579
"XM_008392579,1",0.6451423619141995
"XM_008395865,1",0.6411127437879152
"XM_008339015,1",0.6376066184668241
"XM_008385618,1",0.6364863522438876
"XM_008346320,1",0.6358651390993757
"XM_008353259,1",0.6353193276663115
"XM_008353321,1",0.6329454783571347
"XM_008358066,1",0.6245713325352308
"XM_008346561,1",0.6206053494538708
"XM_008373586,1",0.6195204904690883
"XM_008372502,1",0.6041767420324392
"XM_008346417,1",0.5974481035580844
"XM_008390606,1",0.5678796619269386
"XM_008357852,1",0.5674850391118994
"XM_008341644,1",0.5537834694273559
"XM_008340728,1",0.5424179356307453
"XM_008349498,1",0.5422174370488552
"XM_008351730,1",0.5415289358184282
"XM_008388172,1",0.5228101238132493
"XM_008366883,1",0.5128148617817565
"XM_008357035,1",0.5103387141695371
"XM_008382964,1",0.5015003806948674
"XM_008388475,1",0.49945308372176306
"XM_008339343,1",0.4643990571559561
"XM_008365736,1",0.44752744134674555
"XM_008392222,1",0.4465489111788349
"XM_008356729,1",0.44444467765805107
"XM_008375404,1",0.4429225818335135
"XM_008390007,1",0.4327503675030728
"XM_008369353,1",0.41944536900784507
"XM_008366401,1",0.41592530875550976
"XM_008342092,1",0.4069699167532292
"XM_008341462,1",0.39759968434795817
"XM_008348634,1",0.39594192695131714
"XM_008347563,1",0.3889219383544552
"XM_008371859,1",0.3858982949816018
"XM_008379224,1",0.3732970735569775
"XM_008386805,1",0.35905811542755933
"XM_008346577,1",0.35792935402511483
"XM_008382874,1",0.3498335291544994
"XM_008367835,1",0.3095464907549031
