,"XM_008378954,1","XM_008358718,1","NM_001293983,1","XM_008339015,1","XM_008378862,1","XM_008381409,1","XM_008372268,1","XM_008357852,1","XM_008347563,1","XM_008395865,1","XM_008347928,1","XM_008352752,1","XM_008390007,1","XM_008346127,1","XM_008391412,1","XM_008375822,1","XM_008342092,1","XM_008346561,1","XM_008392658,1","XM_008340249,1","XM_008357031,1","XM_008342489,1","XM_008365736,1","XM_008353259,1","XM_008392645,1","XM_008346577,1","XM_008392118,1","XM_008388475,1","XM_008353031,1","XM_008359318,1","XM_008392497,1","XM_008389619,1","XM_008340728,1","XM_008341644,1","XM_008352864,1","XM_008353321,1","XM_008358077,1","XM_008339343,1","XM_008358066,1","XM_008390606,1","XM_008360876,1","XM_008348542,1","XM_008377120,1","XM_008367835,1","XM_008375192,1","XM_008379224,1","XM_008382874,1","XM_008351661,1","XM_008364214,1","XM_008395973,1","XM_008395429,1","XM_008341462,1","XM_008361055,1","XM_008367891,1","XM_008364242,1","XM_008371859,1","XM_008373586,1","XM_008366883,1","XM_008349204,1","XM_008343281,1","XM_008352749,1","JN381497,1","XM_008375404,1","XM_008349498,1","XM_008356729,1","XM_008385618,1","XM_008348256,1","XM_008368498,1","XM_008346417,1","XM_008392579,1","XM_008375174,1","XM_008372502,1","XM_008375050,1","XM_008344638,1","XM_008392222,1","XM_008380349,1","XM_008382862,1","XM_008366401,1","XM_008370181,1","XM_008382964,1","XM_008351730,1","XM_008388172,1","XM_008348226,1","XM_008393407,1","XM_008352977,1","XM_008357035,1","XM_008369353,1","XM_008346320,1","XM_008377122,1","XM_008370383,1","XM_008378026,1","XM_008348634,1","XM_008386805,1","XM_008387564,1"
"XM_008378954,1",1.0,0.30422335781147586,0.1146287665108939,0.7989699345334963,0.18293049603516617,-0.6852588188973504,0.9024025222715358,-0.12039019215996473,-0.4291022670433605,-0.3189663584429157,-0.6131182750522005,-0.8277179217825459,-0.17218356370304602,-0.6407550285328839,-0.4618410735208149,0.5366134625617628,0.35458431103833543,-0.872880921729459,-0.24470842655032315,-0.6870164734065455,-0.545953410705719,-0.7670111576939301,0.1962722049154926,0.07073996729486304,0.5611926028349715,-0.7582499767203097,0.14433948973061514,-0.30479823083233065,0.7760064672687256,-0.508460002760196,0.6209833224938031,-0.7918958695275352,0.015523195508822392,-0.8319644203195035,-0.937950616697497,-0.34681028879536346,0.8249198495234824,0.7410305884813578,0.6851424611352029,-0.6312993917461556,-0.5919771428122476,-0.5023039189370171,-0.8365950095512531,-0.38627223307558417,-0.05613037689025297,0.2926782371434769,-0.11699481383702777,-0.6004482001205632,-0.522723007023685,-0.44102436267877043,0.5607845998314938,0.47260745308629337,-0.3556333743887536,0.9457253701450284,-0.919045173525884,-0.08926055553729857,0.9077464873786969,-0.7393376992606544,0.5760270585520919,0.7157828183661062,0.05983763748622627,-0.9555365261601583,0.39929827204548274,0.066527433834884,-0.10424166570709993,-0.6113624334576494,0.29466503802304306,0.9469769639987138,0.6689122620162105,-0.12804597336498189,-0.00781646855113052,-0.9131133703529313,-0.6306656205552098,-0.8850592912649541,-0.2987771592357685,0.9217048467334189,0.5969870404077057,-0.8439883793727949,-0.5528889397599936,-0.10511921212014273,0.12633573343130167,0.7336163744906385,0.07077395383230686,-0.5389997149230488,-0.5521885773579875,0.6116832463971473,-0.24581877058471677,-0.3690276807369101,-0.6402667745956476,-0.8334866153065619,0.1146287665108939,0.05837753156368528,-0.05854130125248183,-0.149770792121684
"XM_008358718,1",0.30422335781147586,1.0,0.9576237545723418,-0.10737508489879669,0.6737685949583184,-0.6995132259053246,0.42521882371404024,0.2967342162518158,-0.15343827709961644,-0.6079068106706371,-0.9092900782609324,0.13711989152588974,0.32137802288085554,-0.9075077507158522,0.4364405509216704,0.920221575335173,-0.35609846894442965,-0.035530197630575945,0.5938400973878228,-0.7753753041836958,-0.934414217217984,0.27998517880965645,-0.5333320703259501,0.5675863570621795,0.8938454335985241,-0.2404407425337686,0.8544338796395627,-0.4629322919311394,-0.2854505375678105,-0.9212890727474714,0.8979824565026536,-0.774214263223013,-0.5559749902914644,-0.30157846413420153,-0.07887587566674295,0.35950311463342327,0.6941486460820797,-0.0789042288353843,-0.41210462792292574,0.5170599780470152,-0.6608869865077112,-0.9653393646929956,-0.774802709322901,-0.5016728784999125,-0.8944083152801835,-0.2802236429235763,-0.12642562814779829,0.19128706749554,-0.5562363145871894,0.7068674738614009,0.8097626981544712,0.3014493642282116,-0.9398122910913861,0.5378431845896274,-0.5762266213934585,-0.13478734522804306,0.2621398191162328,-0.08322028061366529,0.8685043284814312,0.8788483481018959,0.9596611013175939,-0.533696842307702,0.711358034452296,-0.3186020489852815,-0.005229948993424713,0.48966746716836507,0.9390261682351023,0.33103745933871886,0.442661315968919,0.7555909106490807,-0.6421704012375927,-0.3298343202239822,-0.8030798628598902,-0.6964472793813158,-0.009190979000060075,0.5323494677085195,0.9195757859825695,-0.10907272050942161,-0.8825647382730092,-0.7122382348116149,-0.7663775606398259,-0.3863515476723966,-0.9063087464397238,-0.9398870539778963,-0.9501240507766561,-0.03417353995355785,0.04202294172902186,0.7571881815490731,-0.9242439614226494,0.13613888137332378,0.9576237545723418,0.696291469455444,-0.5267541699201108,0.5997477524635481
"NM_001293983,1",0.1146287665108939,0.9576237545723418,1.0,-0.27570407843605305,0.7587019818689676,-0.4952462208252982,0.33484948096496125,0.4577425702720244,-0.18175848375663345,-0.6874431156994028,-0.8437911866927894,0.3819196653307398,0.5233055555628501,-0.8348084659957433,0.6760646511557877,0.8648375714221748,-0.28186136525413297,0.10269818578290972,0.796579869177055,-0.7294810694533478,-0.7973825933257973,0.5027934555398927,-0.5327079201237179,0.7320648726494441,0.8723100617982152,-0.032207854141811425,0.9438000085684888,-0.29197468949645555,-0.510369563235352,-0.9033184164492818,0.8037197248179117,-0.589734183465382,-0.6835057775650517,-0.26517439364350204,0.058260257513935786,0.5829386712127768,0.5871204489386258,-0.1194427187083865,-0.6067003400434582,0.6015510264341404,-0.6745168160382639,-0.9036728549304437,-0.6217617352330708,-0.4082482904638631,-0.8749964843760989,-0.40824829046386296,-0.25,0.45820179498340236,-0.6240008278683313,0.8353194248460033,0.6084007461841728,0.35620701279710043,-0.9558818953319661,0.381293126224169,-0.4411221565097085,-0.22902756664039775,0.003636113647839776,-0.017560763013646903,0.6893643829248913,0.7596912682774418,0.9569423976945256,-0.3886482823630477,0.5590186714049675,-0.53451962029518,0.09805988338502816,0.6679147178144338,0.9424769271581023,0.2165949540703245,0.46956861817133766,0.8750797840820128,-0.812006868127665,-0.09238685141409485,-0.6199411450644422,-0.5384602190458557,0.24999296876538107,0.42378245263220976,0.775104908539484,0.10336983484324001,-0.7170612245639322,-0.5793988485493331,-0.731192657542357,-0.5079587454435512,-0.9767957260087387,-0.8966413382603773,-0.8723106945819893,-0.30791597595133685,0.2872133531630912,0.8513886830071024,-0.8186284374698072,0.3823014841239483,1.0,0.5610355300468555,-0.34299641367138733,0.7954222436322698
"XM_008339015,1",0.7989699345334963,-0.10737508489879669,-0.27570407843605305,1.0,-0.37625636480761177,-0.20982768847877215,0.7333804342514679,-0.5897077374071173,0.04759960991919084,-0.26688234360075186,-0.13894051149981296,-0.7779970617646728,-0.07311765868821613,-0.20712530062162526,-0.5997216003967254,0.2421530028506235,0.22924392370405874,-0.9683466769205108,-0.5431405279781781,-0.19816951925400442,-0.18929283234974514,-0.8998554656809545,0.03166927554588913,-0.058291106969663484,0.1491448672574959,-0.3411843306777219,-0.13061562676031263,-0.44917340346038326,0.8348717508648272,-0.13042952471747613,0.3332716332337172,-0.5047543673905642,-0.03688522256972917,-0.6557482475778433,-0.9052185731730834,-0.2902806246098742,0.6008671917669901,0.8507107735852413,0.900361683003445,-0.7860688509122793,-0.4171070888002535,-0.13495416519960746,-0.44936805297879867,-0.5545578471330085,0.46389965534468114,0.7796692845238754,-0.37638724767624243,-0.7537981744604023,-0.3021351390653928,-0.722666560219498,0.19268814005163806,0.010675441694873715,0.000876978101525479,0.7362044652815809,-0.6997755651824664,0.3999493261113589,0.6785603530516034,-0.8912865277983185,0.22822579159663273,0.28047842777491366,-0.378651023423752,-0.6754484980698356,-0.14957079867226403,0.10803104136287543,-0.5474544372758202,-0.635950228931363,-0.23353556461730213,0.7850649167203427,0.4874391366222859,-0.6108460789024261,0.3405705082732098,-0.593998472214212,-0.152216947565287,-0.6003332272654605,-0.4406554291508274,0.6068508424180582,0.17157886129544853,-0.5246185488784689,-0.11048717809671273,-0.03875863028168881,0.20530647200259855,0.9056722659879417,0.3746637401152211,-0.14532829062498154,-0.19792089603369872,0.7452229215275357,-0.1163610183723622,-0.7131685276448041,-0.2567651817731232,-0.84900788645219,-0.275704078436053,-0.34197841437429655,0.02103366732224502,-0.34646417445544464
"XM_008378862,1",0.18293049603516617,0.6737685949583184,0.7587019818689676,-0.37625636480761177,1.0,-0.46690068549166297,0.34147092758178094,0.8908583516791027,-0.7530933295159495,-0.4252969482503925,-0.7642520559501617,0.2363788223111824,0.30547654505705957,-0.7099999527371071,0.6006768220064613,0.5581709510132407,0.31563156198454645,0.1458717740771116,0.8025511000512136,-0.8130161030993291,-0.4731575110624475,0.4487918699266847,0.13701263007216255,0.6090938197520966,0.762831019717405,-0.3187850508171958,0.7057908145154005,0.33302747849534003,-0.36606053274074596,-0.7220134512844287,0.4910512473390769,-0.3316714981181734,-0.3003226171922581,-0.4135446024589559,-0.030704914494004695,0.35864344393962383,0.40537448800428055,-0.026138860696410058,-0.5363427163339759,0.28283566630106804,-0.5196766023704791,-0.6299672793573027,-0.5220477193492128,0.17708231905238409,-0.75771614889654,-0.7965598931914863,-0.001968794951771512,0.5867668991258148,-0.6408030860336101,0.6058275226254696,0.33742349153950707,0.8298389909448344,-0.7278240055935365,0.2908853556584845,-0.34540942551407194,-0.804440744412004,0.04550687372421789,0.09293813527288966,0.3739591548236124,0.6337857895861804,0.7106022295843066,-0.39721501081177796,0.5814130259727399,-0.5235688882320074,0.6895950650193373,0.3183816222014677,0.885077504700134,0.27834528258559826,0.5304170719351466,0.913929739656914,-0.8718647462095624,-0.2064756693800158,-0.5186499678438523,-0.39074931684732583,0.5981958793192725,0.5007184306979195,0.5485480413339773,-0.1937988433693999,-0.5072344678093318,0.016444201645960093,-0.1415746506222996,-0.32318573362981295,-0.6548921854363617,-0.7017227109345683,-0.592945306030227,-0.5429009226889736,0.2806734346692105,0.639325710887598,-0.5897559581959999,0.3128736533032731,0.7587019818689683,0.34970749441689936,0.1520026636280229,0.6971969282052101
"XM_008381409,1",-0.6852588188973504,-0.6995132259053246,-0.4952462208252982,-0.20982768847877215,-0.46690068549166297,1.0,-0.501197773420079,-0.12162792322481276,0.3862036913806823,0.09350081706903074,0.79261983488625,0.533725048112061,0.3759111956408125,0.7779931946656776,0.2645050371218193,-0.6358030962205901,0.11355961286861237,0.2798645866644304,0.010640452629946711,0.7356760219690354,0.839696617092902,0.3102204865194608,0.012167516117283284,0.042946022094641045,-0.6548609558920827,0.839951366571147,-0.29486913456145375,0.3729067777079534,-0.3685361700988049,0.625718793633931,-0.7050899148830366,0.8541812484246047,-0.12040068328722985,0.36375474706355,0.3917673492493867,0.3900626106550587,-0.6426856763430563,-0.04156083908256597,-0.1507451254938707,-0.04511802719826645,0.34901004652374257,0.7114440814119619,0.8743007698175242,0.22887590564523952,0.6837884548115302,0.1754909403759945,-0.37708137601004654,0.38699325570544363,0.24545822913089493,-0.1294583679445991,-0.9343461876170815,-0.37208528108234745,0.5369126273387,-0.6912886237365421,0.6668768349043818,0.23488039535131716,-0.8143562299774305,0.10312707481832209,-0.8958750970855912,-0.8650098215015429,-0.6108238379454073,0.7220663934852648,-0.9339812393732202,-0.28823350002992293,-0.12553226328734568,0.23302957639954147,-0.6823555800838154,-0.5182655012101951,-0.27413748799974597,-0.339407674887628,0.12567981796603261,0.8617495051868778,0.9871220390761198,0.7894659229321677,0.40977733986745996,-0.6761643895122673,-0.9053742371897001,0.7457186287904023,0.9426367597576328,0.5107778372599591,0.3311790404632804,-0.058331735744611965,0.34620304300075716,0.6928050765879463,0.7322626339365043,-0.46036656895743133,0.5660285621825512,-0.26117129088292557,0.8069411946088247,0.4885231714652332,-0.49524622082529896,-0.7550044550504539,0.5585353283386005,0.06253417932478932
"XM_008372268,1",0.9024025222715358,0.42521882371404024,0.33484948096496125,0.7333804342514679,0.34147092758178094,-0.501197773420079,1.0,0.028231498519199753,-0.4263732492475137,-0.6784019864657084,-0.7105210047098498,-0.5309856931900209,0.26587384365484396,-0.7473434118680276,-0.08224054359746144,0.7086771703304261,0.4046992914161201,-0.8741634247323682,0.10136754807434108,-0.7891116606797861,-0.5609039529704118,-0.525115949797068,0.02037782281483899,0.47897793840803854,0.7421037878205847,-0.47325996600927,0.4663891950446725,-0.2709819154641121,0.5017345553497933,-0.7054048567390983,0.7414019633630893,-0.7602695648743988,-0.37945661681988746,-0.9674296308366174,-0.9171634485855907,0.08441148315348918,0.9336901213684831,0.852330956202429,0.4677274592207973,-0.535147111070957,-0.8652708042081578,-0.6406393173210478,-0.8287647580232625,-0.5224042885162429,-0.08934370773587791,0.24900083218292854,-0.4910038463953551,-0.28145092896458357,-0.8247478773373204,-0.22416858805632645,0.42902832378107353,0.5728587891638365,-0.5913003484749536,0.9568708969891254,-0.9681488974032296,-0.11491796517262545,0.6498882888114429,-0.8711872025551148,0.5103215925754663,0.750655659921497,0.17323605185626942,-0.9593365478574226,0.21629291825795063,-0.3618991028926934,-0.12735959307296135,-0.3082463260126969,0.42786870417360656,0.9888144572019906,0.9155677804886124,0.07593085038172223,-0.34675823096526365,-0.6763595688879762,-0.49953015063958045,-0.8969738812665891,0.018614137266886963,0.9661076850412396,0.5789203470643045,-0.5707897925715317,-0.47216228429862145,-0.08216584218398591,0.02256963978215777,0.6411234177684152,-0.1764257111882166,-0.698807859108555,-0.6745952952684898,0.321195972969915,0.18095250448947298,-0.20489625024648905,-0.7154173149410104,-0.561672281521922,0.3348494809649612,-0.1149738998732374,0.11988920771502039,0.24657061744688358
"XM_008357852,1",-0.12039019215996473,0.2967342162518158,0.4577425702720244,-0.5897077374071173,0.8908583516791027,-0.12162792322481276,0.028231498519199753,1.0,-0.7892549468846211,-0.15056654441407802,-0.3914116262144136,0.38697769393147685,0.2357213357861166,-0.3169687370599763,0.6200512956882521,0.13566106230077837,0.49313108453588966,0.38751425307441345,0.7561563705778009,-0.501913490669619,-0.030765749349985667,0.5782721934914158,0.40289733146622086,0.4520699089318382,0.4018952297605692,-0.14789302724418485,0.4266989270614001,0.7080816922577919,-0.47028919999914104,-0.34690608996594785,0.047277785379591014,0.1198467740984266,-0.08569438232257988,-0.1914917331088805,0.19687978580945933,0.32225990040802294,-0.005188997493186047,-0.16063159199524182,-0.6097761913776845,0.2353522772235141,-0.19298014168889258,-0.21462693970231747,-0.10986361484794155,0.5591317011782142,-0.5133906209871246,-0.9328769447503916,0.11129635722546488,0.7549005107014358,-0.4096500078039448,0.5035097887894815,-0.07321491760179774,0.7980498752984698,-0.3748907259451782,-0.09309909864015904,0.03971777010209891,-0.9334075279792801,-0.24268327544134533,0.32484062287344834,-0.0634658434777675,0.22364136080035932,0.4153835992804417,-0.042116589270318396,0.32167223135887085,-0.4917223986291273,0.9002892370830243,0.27401569587127866,0.5951224223765657,-0.011548254035654381,0.29774566291587273,0.8048882767098285,-0.7675273420498014,0.07413241333409658,-0.14479154293741978,0.030403058543292543,0.80236668271776,0.17809999249941716,0.12509747090150672,-0.03393262621176729,-0.10466283663215224,0.38582590288201424,0.17201875351051427,-0.37168657858264714,-0.38836753860330386,-0.30847617883661765,-0.1656570517558083,-0.7797817872329124,0.3558358772781414,0.5102616775733557,-0.15893715348677007,0.4874699687179647,0.4577425702720244,0.10700993992865775,0.4464771487819784,0.5958867014347229
"XM_008347563,1",-0.4291022670433605,-0.15343827709961644,-0.18175848375663345,0.04759960991919084,-0.7530933295159495,0.3862036913806823,-0.4263732492475137,-0.7892549468846211,1.0,0.0645221168247537,0.4687740931754801,0.24499692833176248,0.08908558336579751,0.4097453509459335,-0.09827661840660763,-0.14427648052056152,-0.7948180798361898,0.13725713200702763,-0.329111862817156,0.6611408633403992,0.0863011848829217,0.0445406685619518,-0.7245532628400599,-0.21004509819902317,-0.42838749835817375,0.6193317523555977,-0.17040714925658662,-0.6417177253276621,-0.16783078531537365,0.3291761854154772,-0.1292024243793059,0.1468838641898116,-0.19860720234600054,0.5706589066123975,0.3595015239548742,0.11895403334827889,-0.26432701439554984,-0.2840688923358937,0.004956439583565171,0.329726863505257,0.28191928593942484,0.19801422920716139,0.3949506813229321,-0.5037907493298549,0.2726385776147968,0.6521959298717537,-0.1817584837566336,-0.23618076902086735,0.4769153912812191,0.037462864065623915,-0.07017195161846877,-0.9628865311995098,0.24738167108930667,-0.32408844223369965,0.33879393968455174,0.9331319379442568,-0.3092641769658885,0.06710080998983299,-0.05328747477964381,-0.39162878235392407,-0.1359975703282179,0.46740420508359465,-0.4064231058911003,0.2326485612382629,-0.8370134210109673,0.3298148415414906,-0.4577630095544441,-0.4573891348684617,-0.5039322159195109,-0.4415337070641602,0.4822450491098497,0.4538916180936713,0.330669588546089,0.3027334065505422,-0.5261355179214272,-0.5704880556120181,-0.22460471594954365,0.5936453481701941,0.206000295875263,-0.5198469109181357,-0.5006641623874037,-0.21775372340371002,0.007300033453435431,0.31477704823111113,0.18883038664542162,0.3079355843979072,-0.06985078946143082,-0.013352431539788365,0.2567945334371988,0.14155357934560703,-0.18175848375663348,0.012556758949483231,-0.5102175729506445,-0.21215909465185906
"XM_008395865,1",-0.3189663584429157,-0.6079068106706371,-0.6874431156994028,-0.26688234360075186,-0.4252969482503925,0.09350081706903074,-0.6784019864657084,-0.15056654441407802,0.0645221168247537,1.0,0.6394461128375614,-0.23034626411620346,-0.8586571640969561,0.6822632813843369,-0.588491517184632,-0.8091750880793741,-0.042896378490986084,0.4350884749034483,-0.6301282202594434,0.6175383762212419,0.5228757458561183,-0.15210567515901507,0.5083227699317797,-0.9296329725105277,-0.778931917736849,-0.22157615620604804,-0.8776613024063614,0.3258362805809335,0.23505563051280587,0.8083937271216218,-0.7496220107982873,0.5083782284643296,0.9337326434120923,0.6582255242696826,0.39433995100156,-0.7703486774939776,-0.756642499217598,-0.5253509058092191,0.1696847497112265,-0.05051658260039563,0.9450824476060454,0.7267997335541797,0.5309824284407744,0.6817538277644218,0.26098626195138014,-0.12045887421355629,0.8528999353536305,-0.3131475163136468,0.9028200338410157,-0.3745708258582244,-0.21774938107145322,-0.3304506213116192,0.8249231995471442,-0.5794947784469561,0.6461821033137941,-0.047341732878898125,0.027901389872833405,0.6451073864365933,-0.3716220774053078,-0.5778679912382712,-0.46061283823505406,0.5421839870476047,0.052728228060719765,0.8329325073102463,0.25803630845500486,-0.4565816306717427,-0.5543197052377437,-0.5640220211499456,-0.8375720246309373,-0.43227512131007867,0.7292979985743614,0.005163603331496866,0.20413400102648094,0.5925889341248406,-0.3616425113664659,-0.5839109935875335,-0.4552135127646146,-0.18177154206251592,0.30508731045874393,0.2820778075786912,0.418864003962899,-0.06247289315759525,0.6647518895029034,0.7591847523703148,0.7195398736302027,0.1998995746507625,-0.7003562651133678,-0.3118621977513015,0.6538586921509475,-0.15913922230878036,-0.6874431156994028,0.13419891236127618,-0.09150724584828814,-0.8003370222705538
