Gene Ref,Centrality Score
"XM_008358077,1",1.0
"XM_008391412,1",0.9640108182044744
"XM_008348256,1",0.9299443547914114
"XM_008392497,1",0.920987494627074
"XM_008370181,1",0.9060582178803718
"XM_008353031,1",0.8965247906469239
"XM_008348226,1",0.8683066087983153
"XM_008390007,1",0.8657134886256924
"XM_008389619,1",0.8645570420844533
"XM_008379224,1",0.856470386845745
"XM_008344638,1",0.8465212794479752
"XM_008392579,1",0.8200411302750238
"XM_008373586,1",0.8031090958953474
"XM_008357035,1",0.8016500503960954
"XM_008380349,1",0.799537671647061
"XM_008382964,1",0.7942224958613676
"XM_008351661,1",0.7826881003469982
"XM_008347928,1",0.7788908363803997
"XM_008346320,1",0.7743765618196199
"XM_008361055,1",0.7692001962386855
"XM_008342489,1",0.7689614561031666
"XM_008378954,1",0.763038630612119
"XM_008341462,1",0.7572192900456679
"XM_008392645,1",0.7546551540820491
"XM_008352864,1",0.7513065550723722
"XM_008358066,1",0.7505406369871218
"XM_008385618,1",0.7422055305083933
"XM_008341644,1",0.7416310339238877
"XM_008352977,1",0.7416210338532733
"XM_008348542,1",0.7374720257680499
"XM_008367891,1",0.7241137268934698
"XM_008357852,1",0.7075168618721003
"JN381497,1",0.7043151008097254
"XM_008370383,1",0.6959207732173047
"XM_008381409,1",0.6840415397973508
"XM_008375192,1",0.6815976740524958
"XM_008359318,1",0.6813753362234467
"XM_008395429,1",0.6795845982199971
"XM_008371859,1",0.6762552582485168
"XM_008357031,1",0.6759952060595021
"XM_008346561,1",0.6590669502485266
"XM_008375404,1",0.6535181233506858
"XM_008353259,1",0.6523183215264131
"XM_008387564,1",0.6456992778581573
"XM_008349204,1",0.6331808005647854
"XM_008365736,1",0.6213946416952117
"XM_008352752,1",0.6184849241967443
"XM_008375822,1",0.6173066409678213
"XM_008390606,1",0.6126646681778498
"XM_008377120,1",0.6083529364970253
"XM_008343281,1",0.5994348376446595
"XM_008339015,1",0.5975422809651197
"XM_008342092,1",0.5938697555985148
"XM_008393407,1",0.5769608410548263
"XM_008377122,1",0.5749532773182195
"XM_008388172,1",0.5696597592786165
"XM_008364242,1",0.568374555343894
"XM_008375050,1",0.5658101912856758
"XM_008358718,1",0.5582583111240209
"XM_008340728,1",0.5523660753065351
"XM_008352749,1",0.5351641964803562
"XM_008368498,1",0.5307252175723881
"XM_008339343,1",0.5232502415726168
"XM_008351730,1",0.5147022713864975
"XM_008348634,1",0.49878034533762716
"XM_008346577,1",0.49436520659635425
"XM_008378862,1",0.47512747201683775
"XM_008392658,1",0.45908127346922023
"XM_008372268,1",0.4313468700322633
"XM_008392118,1",0.4299710167732282
"XM_008366899,1",0.41497222485833296
"XM_008369353,1",0.41280327985067283
"XM_008346127,1",0.4048079679207706
"XM_008366401,1",0.40168135138860617
"XM_008395865,1",0.3928662515611874
"XM_008340249,1",0.3873418841484285
"XM_008353321,1",0.37813589027647
"XM_008349498,1",0.3496944885590191
"XM_008388475,1",0.3197282247735517
"XM_008346417,1",0.31888505223658287
"XM_008356729,1",0.3010489910936263
"XM_008382874,1",0.2967707442946892
"XM_008382862,1",0.2599003929819485
"XM_008366883,1",0.21796671881410198
"XM_008375174,1",0.21007173592473216
"XM_008364214,1",0.18518795534766583
"XM_008372502,1",0.18448939656608754
"XM_008365216,1",0.1487092225067187
"XM_008360876,1",0.14544345590722008
"XM_008395973,1",0.14438182401169503
