Gene Ref,Centrality Score
"XM_008347928,1",1.0
"XM_008339343,1",0.9896856215718134
"XM_008385618,1",0.9301052494089567
"XM_008357852,1",0.8775940311296456
"XM_008382964,1",0.8763394941452223
"XM_008346320,1",0.8761406420720472
"XM_008377122,1",0.8726793982408203
"XM_008351730,1",0.8531352058789364
"XM_008373586,1",0.8328708246561494
"XM_008346127,1",0.8039315701245908
"XM_008366401,1",0.7930692129876902
"XM_008357031,1",0.7877316389705706
"XM_008377120,1",0.7848144108465186
"XM_008352864,1",0.7763602816076759
"XM_008357035,1",0.7631233598269589
"XM_008353031,1",0.7615710509842466
"XM_008370383,1",0.7546489619301774
"XM_008393407,1",0.7546144124644352
"XM_008390606,1",0.7493708549353664
"XM_008365736,1",0.7462004041221459
"XM_008361055,1",0.7404498908927276
"XM_008370181,1",0.7402751250974655
"XM_008392645,1",0.7274094634787226
"XM_008348226,1",0.7222582811465617
"XM_008348542,1",0.7207987155274206
"XM_008353259,1",0.7139923344093273
"XM_008358077,1",0.7126227216444783
"XM_008392497,1",0.7109224022238141
"XM_008386805,1",0.7099553379535847
"XM_008349204,1",0.7083825128699552
"XM_008392579,1",0.7065612246219648
"XM_008352977,1",0.7043340982395175
"XM_008339015,1",0.7032984532583285
"XM_008395429,1",0.6992958464250731
"XM_008368498,1",0.6975059136455873
"XM_008341644,1",0.6948913737858711
"XM_008342489,1",0.6925116972415364
"XM_008346417,1",0.6922439032934741
"XM_008357834,1",0.6764821971695223
"XM_008389619,1",0.6675413213919369
"XM_008379224,1",0.6656160938073941
"XM_008380349,1",0.6619648757063736
"JN381497,1",0.6403967478037188
"XM_008358718,1",0.6375645441973132
"XM_008351661,1",0.6267336091156895
"XM_008375174,1",0.6246660943929097
"XM_008340728,1",0.6243125295068943
"XM_008375050,1",0.6104676340540552
"XM_008390007,1",0.608342173714584
"XM_008353321,1",0.6063278452105292
"XM_008395865,1",0.6039964071719658
"XM_008348256,1",0.5923038506583566
"XM_008375822,1",0.5713119044353766
"XM_008360876,1",0.5633933622164318
"XM_008392118,1",0.562564923438284
"XM_008340249,1",0.5461131773431526
"XM_008358066,1",0.5397923617211806
"XM_008369353,1",0.5246973396544394
"XM_008352749,1",0.509120223433133
"XM_008371859,1",0.49354455776679546
"XM_008378954,1",0.49257508640202663
"XM_008388172,1",0.48573217723356743
"XM_008364242,1",0.47896554381310263
"XM_008388475,1",0.47344711663014194
"XM_008392658,1",0.4437490821232981
"XM_008348634,1",0.4272602867352718
"XM_008344638,1",0.4265001160913451
"XM_008385535,1",0.4212945005185747
"XM_008392222,1",0.4212945005185747
"XM_008346577,1",0.4193642610343879
"XM_008366364,1",0.4190302220571474
"XM_008359318,1",0.4133403540964919
"XM_008372502,1",0.3887564994934125
"XM_008352752,1",0.3882498312309672
"XM_008342092,1",0.3820277036212204
"XM_008375192,1",0.38186721978562244
"XM_008367835,1",0.3800088055999533
"XM_008391412,1",0.37914258406298734
"XM_008349498,1",0.3627500651232202
"XM_008378862,1",0.3587816636089042
"XM_008356729,1",0.33252849091254205
"XM_008341462,1",0.3241158090383763
"XM_008364214,1",0.32286409818003403
"XM_008387564,1",0.3190641472391375
"XM_008395973,1",0.31406614750283307
"XM_008382862,1",0.3057972448783143
"XM_008347563,1",0.3051005463942905
"XM_008382874,1",0.3039175892868485
"XM_008343281,1",0.301128084317042
"XM_008381409,1",0.2866138152388471
"XM_008375404,1",0.27900635373984123
"XM_008372268,1",0.2767266288063241
"XM_008367891,1",0.25391089064200184
"XM_008366883,1",0.21707346692702184
"XM_008346561,1",0.19199097642737242
