Gene Ref,Centrality Score
"XM_008347928,1",1.0
"XM_008373586,1",0.9127109667299013
"XM_008343281,1",0.8967792416246111
"XM_008351730,1",0.8899327438294748
"XM_008353031,1",0.8780041545239258
"XM_008357852,1",0.8768079110871704
"XM_008352749,1",0.8738409354400724
"XM_008371859,1",0.8669993597550235
"XM_008395429,1",0.8541828789380651
"XM_008378862,1",0.8454183803732601
"XM_008392645,1",0.835638259384444
"XM_008359318,1",0.8353395331913893
"XM_008340728,1",0.8346972321173374
"XM_008370383,1",0.831858996822256
"XM_008342092,1",0.8239338470945453
"XM_008393407,1",0.8223052539270239
"XM_008358077,1",0.8130123960592174
"XM_008392497,1",0.8124529541236993
"XM_008351661,1",0.7887974079335789
"XM_008349204,1",0.7804937363968039
"XM_008352977,1",0.7781008971726017
"XM_008348226,1",0.7764097544384663
"XM_008357035,1",0.7708066517310473
"XM_008341462,1",0.7684346299225497
"XM_008385618,1",0.766844634969308
"XM_008339343,1",0.762047536592608
"XM_008395865,1",0.757662378125294
"XM_008378954,1",0.7387613515028897
"JN381497,1",0.7356759672501367
"XM_008380349,1",0.7306490364627661
"XM_008365736,1",0.7099612949537324
"XM_008346320,1",0.6759672709959086
"XM_008389619,1",0.6703380920524427
"XM_008367891,1",0.6515450850121085
"XM_008339015,1",0.6462336947070013
"XM_008388172,1",0.6426593274112302
"XM_008392222,1",0.6393485299890983
"NM_001293983,1",0.6393485299890983
"XM_008382964,1",0.634178494903926
"XM_008361055,1",0.6160214034655057
"XM_008346417,1",0.6007858725097569
"XM_008382862,1",0.5985352846593469
"XM_008346577,1",0.5766875559205653
"XM_008358718,1",0.5641547364630665
"XM_008392658,1",0.5634517922117194
"XM_008344638,1",0.5553421010169838
"XM_008379224,1",0.5513845215984479
"XM_008392118,1",0.545740022116536
"XM_008377122,1",0.5379471389391682
"XM_008348542,1",0.5290053658402697
"XM_008395973,1",0.5232058375608722
"XM_008366401,1",0.515961203670472
"XM_008348256,1",0.5130327749249801
"XM_008370181,1",0.5068239378371003
"XM_008346127,1",0.49460709835767425
"XM_008364242,1",0.4905208340397048
"XM_008387564,1",0.490493591565606
"XM_008375050,1",0.4879145614770452
"XM_008375822,1",0.4797800383918023
"XM_008375404,1",0.47126291126303016
"XM_008353259,1",0.47123009665965365
"XM_008358066,1",0.4591555468676949
"XM_008347563,1",0.4528750145295648
"XM_008342489,1",0.427770965395861
"XM_008349498,1",0.4264250707633539
"XM_008368498,1",0.41505607382060733
"XM_008369353,1",0.4113152584389078
"XM_008375174,1",0.40846643854007336
"XM_008390007,1",0.4010059009712952
"XM_008352752,1",0.3994005475689307
"XM_008352864,1",0.37731427808455775
"XM_008366883,1",0.37338135643365283
"XM_008377120,1",0.3694243639052
"XM_008364214,1",0.3585850983753839
"XM_008390606,1",0.3485182827109991
"XM_008348634,1",0.347557733698496
"XM_008346561,1",0.34754317961860526
"XM_008375192,1",0.33436927397972643
"XM_008386805,1",0.3251459024154894
"XM_008392579,1",0.3219813102168466
"XM_008385535,1",0.3055803975059032
"XM_008381409,1",0.3033973802028628
"XM_008372268,1",0.30180315235062255
"XM_008388475,1",0.28196915008108336
"XM_008341644,1",0.2686738747965849
"XM_008356729,1",0.2642984366797708
"XM_008357031,1",0.25741153440612796
"XM_008372502,1",0.23857102562705856
"XM_008340249,1",0.233108491955363
"XM_008366364,1",0.21938982631736317
"XM_008360876,1",0.2145957327550515
"XM_008353321,1",0.19767530108536305
"XM_008391412,1",0.1937458450323267
