,"XM_008378954,1","XM_008358718,1","XM_008339015,1","XM_008378862,1","XM_008381409,1","XM_008372268,1","XM_008357852,1","XM_008347563,1","XM_008395865,1","XM_008347928,1","XM_008352752,1","XM_008390007,1","XM_008346127,1","XM_008391412,1","XM_008375822,1","XM_008342092,1","XM_008346561,1","XM_008392658,1","XM_008340249,1","XM_008357031,1","XM_008342489,1","XM_008365736,1","XM_008353259,1","XM_008385535,1","XM_008392645,1","XM_008346577,1","XM_008392118,1","XM_008388475,1","XM_008357834,1","XM_008353031,1","XM_008359318,1","XM_008392497,1","XM_008389619,1","XM_008340728,1","XM_008341644,1","XM_008352864,1","XM_008353321,1","XM_008358077,1","XM_008339343,1","XM_008358066,1","XM_008390606,1","XM_008360876,1","XM_008348542,1","XM_008377120,1","XM_008367835,1","XM_008375192,1","XM_008379224,1","XM_008382874,1","XM_008351661,1","XM_008364214,1","XM_008395973,1","XM_008395429,1","XM_008341462,1","XM_008361055,1","XM_008367891,1","XM_008364242,1","XM_008371859,1","XM_008373586,1","XM_008366883,1","XM_008349204,1","XM_008343281,1","XM_008352749,1","JN381497,1","XM_008375404,1","XM_008349498,1","XM_008356729,1","XM_008385618,1","XM_008348256,1","XM_008368498,1","XM_008346417,1","XM_008392579,1","XM_008375174,1","XM_008372502,1","XM_008375050,1","XM_008344638,1","XM_008392222,1","XM_008380349,1","XM_008382862,1","XM_008366401,1","XM_008370181,1","XM_008382964,1","XM_008351730,1","XM_008388172,1","XM_008348226,1","XM_008393407,1","XM_008352977,1","XM_008357035,1","XM_008369353,1","XM_008346320,1","XM_008377122,1","XM_008370383,1","XM_008348634,1","XM_008386805,1","XM_008387564,1","XM_008366364,1"
"XM_008378954,1",1.0,-0.41290275651106995,0.5558506659331169,0.23639230484637816,0.8033232845742577,0.42939101261688684,-0.5608007481630471,0.22617811846145178,-0.8422179872936214,0.3619032339565686,-0.45119363215126457,0.09110099572008586,-0.09086969163153034,-0.17494570190282124,-0.49670820897251483,-0.2764372598800314,-0.4541809353985391,-0.9468161256985466,0.568079574628374,0.2659314470854105,-0.46229338554982163,-0.05319145485350454,0.02078917834958432,0.2634092346011521,-0.838678852374706,0.1995170656461371,-0.500358841599994,0.581804623529826,-0.334312611715097,0.5243851265993726,0.8266593986023648,0.5714991675855285,0.01567745231271801,0.7096283115593681,0.15511184169444958,0.2732588912189893,0.029156869615681556,0.7820769523874036,0.5128217839422186,0.6576725963949211,-0.17530379804889995,0.23593005975941578,0.19357517417507225,0.12207285878311472,-0.47436780222596103,0.005386097064120163,-0.2327769683334153,-0.5997090400152729,-0.2941364893076745,-0.047542500166326544,0.030278839156608645,0.4404189110157281,-0.15593619118087773,-0.11152252637397865,0.13227852507918011,-0.9084950865724326,0.21760310693777737,0.43297565302912366,-0.16624619639718363,0.24803666019310366,-0.5337157667321426,-0.5627692998188877,0.07878716001164474,0.5287239232603748,-0.29140768195188654,0.18892583583673903,-0.41911052584181785,0.8155625722454379,-0.08111178707963426,-0.22086501157534363,-0.8273906969728592,0.2875740584524148,0.1264738412379413,-0.5384454205252467,0.21950042124768865,0.2634092346011521,-0.2831204250110732,0.3141427674317116,-0.1540892778815929,-0.7906595739907037,0.13206323645299617,-0.2576281268542366,0.46007545017806695,-0.7327949394792247,0.8977508494283971,-0.8422714567305039,0.21302140053666288,0.12349343723421417,-0.5763183604411545,0.058217891264206,-0.7847716991429619,-0.34959632040926947,0.05988134537606688,0.08586900796881859,-0.6179694519907651
"XM_008358718,1",-0.41290275651106995,1.0,-0.17411162735901947,-0.7281416372896725,-0.6652627864282851,-0.22626113727923236,-0.2626553251367789,-0.2357118274316422,0.0855554370308801,0.5599476197474993,0.4500542158417916,-0.8537027711853051,-0.8145345601983861,-0.09319246391014095,0.6244022539760201,-0.3166888378092263,-0.33887883374734656,0.5256216600648871,-0.01966627058578201,-0.8260798256464476,-0.29400081537162986,-0.8519085677827798,0.6590023148364031,0.21163058074457505,-0.059991248060003284,-0.5225276729334809,6.879524152465723e-05,-0.587560623411595,0.8779171746952127,0.07041187682646864,-0.8115457148654526,0.32270545298164977,-0.6921980378478956,0.23096538903975308,-0.8778550034894436,-0.7651596960144607,0.733444602719906,0.12660033772951715,0.41013772663143494,-0.7684831300029091,0.9499121500304923,0.006716331455849103,-0.9217266698863318,-0.8535654619087174,0.5123651039483452,-0.08984063452277663,0.8752975077071511,0.2024762500306892,-0.3073063133622498,-0.2973700386650081,-0.17813277586290865,0.27783741433825,0.15709226789486572,-0.7037986329803293,0.13180821182338792,0.6369686013675118,0.606900313422051,0.34530306159525986,0.5886436090152696,0.6574503463700069,-0.41330032600242833,0.4932783543794083,-0.7984792997327699,-0.6981894166261612,-0.2899502449822389,-0.26048019704714875,-0.5027341116492838,0.1477132241652237,0.6485392964397012,0.8384476735340948,0.07387635018218171,-0.9236467398982541,0.4712558584394526,-0.1526272818452781,-0.4017633937095241,0.21163058074457505,-0.2752266292650328,-0.5720808895108116,-0.5948790726351901,0.030474478151057038,-0.7710400601513915,-0.7333014470459885,0.2230894791555711,-0.021760117923483112,-0.2292241731277129,0.13457080600842775,0.5860819353007171,-0.2801800122803529,-0.21461121688069704,-0.8048573594943322,0.11766944453008042,0.2970540988229138,0.7626016552261123,0.578714503164702,0.5110565967886236
"XM_008339015,1",0.5558506659331169,-0.17411162735901947,1.0,-0.07332186285382758,0.2720426478376482,-0.4527306019567663,-0.8258807920280122,0.1689284345795924,-0.6535636653667763,0.6574410933951954,-0.8411191920636301,0.14976369081726199,-0.39009629138570445,-0.6192561730463464,-0.27474011174383584,-0.42846888608755523,0.023704289268216654,-0.4613593074756446,0.6154428989906472,-0.274089056192016,-0.7674396379030579,-0.1633407353654817,0.6115882991227728,0.6267036954245483,-0.6793038330937656,0.754211257811443,-0.6936856684568463,0.48747822435254357,-0.24532126494096096,0.9636364144714745,0.5778174043087078,0.5666972221007064,-0.5234175733225758,0.5401536252134937,-0.31040352655465264,0.009591244213522318,0.2365481661410224,0.684950344643891,0.7458200579582401,0.4416539424877854,0.051410220370304224,0.855181273074236,-0.14485256041246536,-0.29811107556093375,-0.5310191043172029,-0.29319291774954603,-0.13678882784878918,-0.13685434513637287,-0.7750878848514037,0.6630016276350272,-0.16248527280533379,0.7571923106114838,-0.03572479250120447,-0.3108343937605774,0.24978259620423993,-0.700543727050385,-0.03301647721089474,0.7530002158905431,-0.08351662585116403,0.32555599565756066,-0.1527349806780387,0.03861948335449394,0.2447963787622831,0.24327016094336473,-0.5592945703008987,-0.25095163513527413,-0.6387245752053367,0.4927473125402542,0.5968557655793016,0.16214973617565467,-0.8725626632273592,-0.004719592508081365,-0.46889185021454005,-0.8772700462882022,-0.2958726451424864,0.6267036954245483,-0.7066990168878349,0.7211694454774861,-0.6776013113728071,-0.8214206434780232,-0.2836083581558836,-0.3404999943635101,0.42715293864308873,-0.7287910625695231,0.6312400794864195,-0.8108771771653482,0.6554562841429306,0.791012850381829,-0.8871214795990466,-0.22863804778276264,-0.9241922865053861,-0.8853902572737156,0.22555003074064658,-0.4212216344632678,-0.20783765200138996
"XM_008378862,1",0.23639230484637816,-0.7281416372896725,-0.07332186285382758,1.0,0.6955098171380208,0.38335546096123496,0.46661486705058797,-0.09794727259169182,0.17273695949999127,-0.5150405415336824,7.923355560265953e-06,0.5947076348076483,0.682674087397355,0.25779155340335064,-0.16907438419419568,-0.19036368577391324,-0.09974153624213151,-0.19869992161886635,-0.3312743641899671,0.5101638683249091,0.34984204307668804,0.7335388619142601,-0.6015770454884124,-0.4826107431552294,0.25288959495960234,0.31688692035173305,0.22570822570178933,0.12357450972058293,-0.48921263805842785,-0.2344555892668104,0.4351596111169755,-0.6301382948784148,0.6744301340505119,-0.4639594935858724,0.6821941944037421,0.2893603387209662,-0.294529447328309,-0.37712526033947635,-0.37340256785540205,0.20698803804184562,-0.624066030698635,-0.3559613381750029,0.6585379985165979,0.6564172132280363,0.09521193791656953,0.6351553608561749,-0.5089085360533784,0.3419195843118361,0.1231183019496188,-0.035772866169176146,-0.3624015229338477,-0.1676295592891774,0.3151439062550295,0.4746459606668191,0.28073522378334137,-0.38703170915545976,-0.1870812987455516,-0.5642780388875595,-0.7263527058070266,-0.6182653199461977,0.5635796866370179,-0.1617230203784057,0.3846563234374574,0.9030838836017225,0.6681614454418529,0.39881860862377067,0.4048928142306845,-0.11642618345298099,-0.5895864219007074,-0.5962981043647285,0.12569424484609296,0.7406310409106028,-0.1158188101899334,0.10888291831454737,-0.08531633752565515,-0.4826107431552294,0.5482091484592934,0.4360701917580555,0.5758575847176836,0.2274547277728684,0.44879095913502437,0.6020053193607037,-0.7067541641613749,0.2571672811434939,-0.15738596657966003,0.21576190582066354,-0.4438798532606368,-0.1074513232226743,0.3640025138650147,0.41842015535625027,0.0597158437833992,-0.0996095353974995,-0.6257216629204305,-0.30369651442895024,0.08360475196111779
"XM_008381409,1",0.8033232845742577,-0.6652627864282851,0.2720426478376482,0.6955098171380208,1.0,0.46704562069947514,-0.13449893492826193,0.3472122691983904,-0.5651529955848006,-0.10255340238717948,-0.34432293134100145,0.25263586228831153,0.32573584993327465,0.27202652335668237,-0.2579658927892082,-0.2534425129704465,-0.3049328593987231,-0.804544651638804,0.01773768728047035,0.44526967210628554,-0.19631835855764374,0.29044225457230943,-0.38748759386588977,-0.2953478383203006,-0.3757016401055988,0.2966383316946674,0.001893230048052013,0.2857196711126932,-0.36202900363069046,0.14892662719989938,0.7671857243824147,-0.01091915916924618,0.4950455873733229,0.1696030690082507,0.5046170174769051,0.2317399397433501,-0.23171257838822168,0.2888705761293038,0.1173289742831575,0.4955691370885135,-0.4452224837364331,-0.19039900473383944,0.4448951395878572,0.39444585554158623,-0.37489564815499465,0.20802060944493578,-0.30864274730183927,-0.2448969262246175,-0.1161317386603691,-0.2136470022435322,-0.003192847654760388,0.258729711537682,0.24803179992524188,0.0665255049981223,0.4031508167651911,-0.7562562321140229,0.17705782732444636,-0.1323132010963583,-0.6718006424794829,-0.04472302202249053,-0.03804849113576724,-0.35419242103355064,0.13336294843023305,0.8912991109681524,0.046063581382730284,0.13488032266770802,-0.10325626968773838,0.4317339216524708,-0.45129226997227245,-0.37072418268973767,-0.46539477700329834,0.5022007037689987,-0.027709343009440546,-0.28976346830427235,0.06770571834156529,-0.2953478383203006,0.28273815701875027,0.4814686296970654,0.28834968067481254,-0.31924133677844485,0.2607267928865013,0.09261954656612603,-0.009688303265958362,-0.21811297337879712,0.47908911882631494,-0.40630509052825897,-0.10993833670209886,0.04054640889276447,-0.14980742553313842,0.21535535051915014,-0.47276835727262495,-0.1229724041015963,-0.17304697376587452,0.056868020557416,-0.3414954348461541
"XM_008372268,1",0.42939101261688684,-0.22626113727923236,-0.4527306019567663,0.38335546096123496,0.46704562069947514,1.0,0.3441677719620641,-0.2845032009859893,-0.036149998663776405,-0.24723622421696073,0.540851235967386,0.06050546939807385,0.2937513148890509,0.21245826209821597,-0.3641764074412705,0.055414339594144574,-0.6299219090537304,-0.38591758115944796,0.10157851057696729,0.5487155814549651,0.43963423983596644,0.1961677755152574,-0.5459296702206051,-0.19087377848774278,-0.1826513228950144,-0.6153169299637437,-0.0017200966173582845,0.22881902211945168,-0.1908737784877429,-0.41973687282009714,0.23019433278533888,0.005318673792364646,0.4443140328564157,0.1943568546618659,0.441799251488812,0.3432779221458819,-0.057962156815615444,0.08563645193605958,-0.23219671429004754,0.21109588283563321,-0.2147086871803468,-0.5397402323421108,0.3805472534534828,0.48075201730734596,0.2845052843415177,0.5693672546359289,-0.19911955075213386,-0.3726007609246399,0.4825459737184233,-0.6180861473522055,-0.07681208547821392,-0.4009207823051351,-0.2717729664008734,0.32755400280568486,-0.26060174956026794,-0.24839759559521335,0.1643966246002709,-0.25228264397561434,0.08400890976754852,-0.23700304852083726,-0.3881961143408635,-0.7219529082456649,-0.08196459662505078,0.2788389809591678,0.497188427087473,0.7388405091705958,0.2855190323798389,0.39451235154464004,-0.6348642133900301,-0.4995637434478107,0.07010009388823703,0.40035127310858626,0.74457787553253,0.356608157732787,0.5205571074441963,-0.19087377848774278,0.29849075723701,-0.49911517591940385,0.476445752796499,-0.015364663847161486,0.4888994760936322,0.15536801509399015,-0.1262478068422137,-0.11140958168654058,0.2566983489631637,-0.013946764623119893,-0.45148852589851857,-0.7946317602366697,0.32498918845240066,0.31827164956740456,0.16697919741650258,0.41450452006330896,-0.31661483270056684,0.3846218515878747,-0.37729108509558573
"XM_008357852,1",-0.5608007481630471,-0.2626553251367789,-0.8258807920280122,0.46661486705058797,-0.13449893492826193,0.3441677719620641,1.0,-0.2847189321522722,0.8373560766817679,-0.8822140087711201,0.6175298642781956,0.3881379029417487,0.7545286352543693,0.44823975718161185,0.01494120433833775,0.45273923880792083,0.22269500476328383,0.47603304275139446,-0.6080925341500759,0.5178948193803766,0.9433469986747869,0.6588033289722464,-0.7730042523284654,-0.6057367554313461,0.8425704485060016,-0.3314253144936583,0.6011314264600133,-0.21692396960238328,-0.21175050793287875,-0.9071738257393784,-0.30295694438633264,-0.8465489578048664,0.7017588547502396,-0.8060214360066393,0.6210424669876377,0.29996161728591764,-0.45926428200381975,-0.8895562132043255,-0.9369946395878861,-0.1939423681713093,-0.46910221974587896,-0.6821699799638654,0.5435095402476947,0.6528991012690267,0.44831752951184545,0.4668071498948959,-0.3270827817864677,0.3447677445672028,0.7842066614932256,-0.25116312755243875,-0.019328697503728648,-0.8663692875799119,-0.004302451399562718,0.6943651732699315,-0.2996654828486779,0.4712195930279407,-0.4005408338993599,-0.8798811506020655,-0.16846887235872746,-0.7778539503915504,0.5826979258193609,-0.09713463765576374,0.2549756125906941,0.07149302147331481,0.8336241536138383,0.41384198657582005,0.906277392433159,-0.7018031741875574,-0.7166052850637984,-0.5343778637886264,0.9108848169417859,0.45959430536960666,0.10989689707506241,0.889055315280472,0.2690704491667544,-0.6057367554313461,0.7279078402162507,-0.33039338232276255,0.8374002790745374,0.8627493619701251,0.5760288482851965,0.7789918995908497,-0.7572940415775377,0.7755362991968368,-0.7104758961961415,0.8609461146587086,-0.8487238254873579,-0.5315134369149123,0.9774156140773744,0.558578813861093,0.8994664599376379,0.5220618065302662,-0.6783476424564432,-0.11555039136513862,0.19559020262203242
"XM_008347563,1",0.22617811846145178,-0.2357118274316422,0.1689284345795924,-0.09794727259169182,0.3472122691983904,-0.2845032009859893,-0.2847189321522722,1.0,-0.547543489333685,-0.14116577177503614,-0.5839837687671213,-0.16750845585879418,0.1060743241899592,0.5730168969321008,0.20652467875300407,0.287531466682126,0.4459067847318888,-0.46892630640622385,-0.289549542816205,0.11885058499737446,-0.40748291294637046,-0.11853619215465347,-0.17834285002904743,-0.4152263683559179,-0.052895460499741004,0.30949490069438024,0.4252663848988398,-0.17075532547877778,0.08303929442343785,0.04936519455273898,0.29150892575990134,0.05546699237322174,0.32246313830006024,0.00830347870427626,0.1935752182969447,-0.052266003768140244,-0.5149554516516461,0.13609722216083006,0.025596823524925597,0.23839273759522486,-0.19744097250553913,-0.12156341898011254,0.04043999562267286,-0.03781911412154019,-0.7931034482532782,-0.7656412138591902,0.1031850366711288,-0.3647018056993734,-0.01977555567466443,-0.15041952035420703,0.7758851258741056,0.2614926280007187,0.3384952601000455,-0.25872005315553837,0.3644096985990996,-0.11468290322899277,0.13619065741719655,-0.13467503679566667,-0.5390774298640536,0.3737920013803113,0.012610091210583521,0.1873503352270204,-0.0664704572941999,0.16081917461988052,-0.6565305342823825,-0.7728955290149462,-0.17339176833309908,-0.11653313850447491,-0.1818084956611214,0.17076645949317232,-0.21148414852266761,-0.1251359087351308,-0.5052162304596658,-0.12062388323375185,0.07514274864711472,-0.4152263683559179,0.29068166197467243,0.4041028484647304,0.15759996761718995,-0.012597871344054316,-0.07341989175697543,-0.12569176803952914,0.49133692490167485,0.17078002041989312,0.19667508190485178,-0.2073414622520976,-0.010149994449038682,0.4615547098754288,-0.11870997277504564,0.04446451295841889,-0.2225515378933477,0.18974512754610015,0.3080465976493043,0.2128794069489345,-0.2626169407233457
"XM_008395865,1",-0.8422179872936214,0.0855554370308801,-0.6535636653667763,0.17273695949999127,-0.5651529955848006,-0.036149998663776405,0.8373560766817679,-0.547543489333685,1.0,-0.5728401522796224,0.6146782452505016,0.27939604086668124,0.4132438402787949,0.07816132656951678,0.155000806414133,0.2704340879092169,0.27326635568588975,0.8470457583501158,-0.47262274821939176,0.09347523392507599,0.7980118493425277,0.4451664089559323,-0.3170360190975733,-0.26759202127561205,0.8552585711427122,-0.24096652160932672,0.3776316132843864,-0.2931799818080117,-0.03383621284161862,-0.6625891889560471,-0.5956140509202854,-0.7348215905696003,0.2292244210320654,-0.7781887767096242,0.18783622365709207,0.0647555852118385,-0.11444060928502686,-0.8756022544839791,-0.718449049558188,-0.44553919572801587,-0.1377762001854904,-0.3344220373483916,0.19852104787207236,0.29490234000382015,0.6446065665150981,0.4384432125928852,-0.14407856351965703,0.6109437996817304,0.497144587739707,0.058839921091996386,-0.2768378763897814,-0.7007002358394371,-0.030004039138187406,0.509733095268026,-0.3187104787310928,0.6714830367898939,-0.4244981671353885,-0.5871116437513294,0.12334633044552455,-0.6635720003697392,0.6199860069675704,0.19537989511010717,0.19626277039383463,-0.24098219388760697,0.746170808795821,0.3227198039875739,0.7142535354056968,-0.7492247270103475,-0.2280057591774717,-0.23426588612260962,0.8959035322728561,0.17047158669890283,0.03809855824769093,0.7012932639589396,-0.02732506581064272,-0.26759202127561205,0.37380905382493,-0.3383052400222668,0.42156956016492875,0.7985585257865979,0.2563854219578094,0.5968055621682182,-0.7695595431750053,0.679743338180632,-0.8525403038519065,0.8821157057582626,-0.509949222014354,-0.3581581616963713,0.7718001519836246,0.2648659070633331,0.8578566559063835,0.27210835910018916,-0.5023440667318654,-0.27588324829335076,0.48154484473221787
"XM_008347928,1",0.3619032339565686,0.5599476197474993,0.6574410933951954,-0.5150405415336824,-0.10255340238717948,-0.24723622421696073,-0.8822140087711201,-0.14116577177503614,-0.5728401522796224,1.0,-0.24321709080817538,-0.5244626821651932,-0.930010482349972,-0.5987774470827015,0.10607942965330555,-0.6570644118230483,-0.49181516100465567,-0.16024881435934984,0.6174480589037209,-0.733581064628441,-0.8159314215010813,-0.7752939024906549,0.9248815538694654,0.7081345057863908,-0.7734244016884962,0.07612311461697999,-0.6738323988394432,0.07942307722690822,0.4044290268755653,0.8337326768835812,-0.01560287737703682,0.8099161117195585,-0.9045253909760302,0.7811354458896198,-0.8499078144610273,-0.4859639633928972,0.8080223129908055,0.7957756185072127,0.9690500227720807,-0.12114674944504995,0.742653561362416,0.6317604736595278,-0.7473607171281549,-0.8025537536598503,0.0150519253555308,-0.1364161004565962,0.5041996871064605,-0.1009205239718849,-0.822306788607623,0.17039111308530297,-0.33915974528348997,0.8095072348224888,-0.006583992899773743,-0.7497037249948181,0.25335749300210114,-0.25353448627904307,0.5231100050778383,0.9148337181311889,0.42858715184389723,0.7579395891708981,-0.6259221467093172,0.1698054277406008,-0.44245791502523524,-0.22464772520491388,-0.5853107480572137,-0.17384791312763467,-0.9199786293704334,0.7451371857347043,0.8690659681849974,0.6510915611694663,-0.7575113209145715,-0.6040536621787238,0.20951467796913714,-0.8413353961055958,-0.42291041258245643,0.7081345057863908,-0.7964378060641925,0.047255443794849014,-0.9624186604767279,-0.7754682849966026,-0.7194989524985952,-0.8663512308995063,0.5411049894911516,-0.7648605265883178,0.5178562465556956,-0.67860451675773,0.9433070041619744,0.23889722472754252,-0.9112333976902465,-0.7582376299161339,-0.7362112353445496,-0.4634173652769331,0.7176191513671902,0.2041193722395501,0.07811221436886864
