,"XM_008378954,1","XM_008358718,1","XM_008339015,1","XM_008378862,1","XM_008381409,1","XM_008372268,1","XM_008357852,1","XM_008365216,1","XM_008395865,1","XM_008347928,1","XM_008352752,1","XM_008390007,1","XM_008346127,1","XM_008391412,1","XM_008375822,1","XM_008342092,1","XM_008346561,1","XM_008392658,1","XM_008340249,1","XM_008357031,1","XM_008342489,1","XM_008365736,1","XM_008353259,1","XM_008392645,1","XM_008346577,1","XM_008392118,1","XM_008388475,1","XM_008353031,1","XM_008359318,1","XM_008392497,1","XM_008389619,1","XM_008340728,1","XM_008341644,1","XM_008352864,1","XM_008353321,1","XM_008358077,1","XM_008339343,1","XM_008358066,1","XM_008390606,1","XM_008360876,1","XM_008348542,1","XM_008377120,1","XM_008375192,1","XM_008379224,1","XM_008382874,1","XM_008351661,1","XM_008364214,1","XM_008395973,1","XM_008395429,1","XM_008341462,1","XM_008361055,1","XM_008367891,1","XM_008364242,1","XM_008371859,1","XM_008373586,1","XM_008366883,1","XM_008349204,1","XM_008343281,1","XM_008352749,1","JN381497,1","XM_008375404,1","XM_008349498,1","XM_008356729,1","XM_008385618,1","XM_008348256,1","XM_008368498,1","XM_008346417,1","XM_008392579,1","XM_008375174,1","XM_008372502,1","XM_008375050,1","XM_008344638,1","XM_008380349,1","XM_008382862,1","XM_008366401,1","XM_008370181,1","XM_008382964,1","XM_008351730,1","XM_008388172,1","XM_008348226,1","XM_008393407,1","XM_008352977,1","XM_008357035,1","XM_008366899,1","XM_008369353,1","XM_008346320,1","XM_008377122,1","XM_008370383,1","XM_008348634,1","XM_008387564,1"
"XM_008378954,1",1.0,-0.4949567279254109,0.614965298814948,-0.45056128714657484,0.0482598328754736,0.05600440520678246,-0.9306934776786616,-0.12727164582588435,-0.8507239522123844,0.6956877568421587,-0.6573834469659346,-0.8457769754120297,0.5227027181403265,-0.8507809739203505,-0.7233233142772539,-0.6480432988350897,-0.6179913599569418,-0.3406364376336352,0.14461774946967296,-0.02287522759596669,-0.41409706395233287,0.06970869556953002,-0.4637505769321252,-0.9406817873289086,-0.2783997208752489,-0.23081668230440272,-0.20116991931306252,0.8609452209049933,0.41611445903917055,0.7647305893077825,-0.8195284856450681,0.8470513769029405,0.04811772296714381,-0.8740106810020161,0.034495511479239925,0.7416358416696063,0.5673076231257859,0.7032347910997315,0.3269525382725002,0.42876663777293617,-0.001137759484411628,-0.2828044302492757,0.005263206187684177,0.9576077187808612,0.10816886314375253,-0.9807141782485024,0.31800476344755746,0.09694824047543092,0.9582438606296086,-0.8880996749627126,-0.4345435289439336,0.13536823167971485,0.2561429599178233,0.3687722226848834,0.8966721751689596,-0.5662298983602028,-0.055051899835890886,0.34701540815024784,0.6783340471023932,-0.8861179668017349,0.562768119254865,-0.3400486268340906,0.28649538383032364,-0.9206443087457836,0.5383099115376053,-0.5965398081451986,0.1082598301058682,-0.8787508606415246,-0.00713912126680055,0.644021593507429,-0.5546123572796716,-0.3762879774207017,-0.7297366073661694,-0.07705006752292846,-0.49327297848276463,-0.7340840284817245,-0.2716565266072042,-0.4058606207026109,0.7161418806778534,-0.8571904598745613,0.7737973524957095,-0.5566897161548563,0.7216521772604239,-0.172849676762385,0.5648624039001293,-0.9196852347109505,-0.2463218132815327,-0.8986010688909369,-0.036392269633194106,0.7725786959412198
"XM_008358718,1",-0.4949567279254109,1.0,-0.8698283669947607,-0.4588081104872827,-0.7189320005915227,0.06955028520882402,0.4435146815890346,0.3180835536268288,0.41806522342638336,0.12150762879174515,0.725546512160252,0.3697790172043597,-0.3450650914865921,0.2587441696064744,0.773703596189055,-0.08349451353137939,0.0637114094807809,0.3002252203681799,0.11097271102592339,-0.5942688700587739,-0.08742159516324181,-0.7715824648794687,0.782159108683546,0.5522112013840259,0.19361560333124195,0.41983226518489314,0.217903229639542,-0.5492248379641399,-0.7924520987756433,-0.3363777600594027,0.39327535258310753,0.022770645816091437,-0.7029171311917922,0.7188452880754634,0.5636932287052835,-0.31094854921046516,0.26778716640594,-0.6163008775731568,0.17574255196298513,0.4035750571330072,-0.581353163327241,0.21004616124498912,0.24761225204855036,-0.587434919128858,-0.7491878236048987,0.36110856403769376,-0.36338640751907536,0.3824908100606155,-0.6315701801448375,0.5802734226973363,0.08870349406864346,0.3623618427936447,0.4959540483845487,0.008627278998372187,-0.3660236520349824,0.0790062139581928,0.6001859918885123,-0.9441454725024522,-0.5290611547229488,0.7863845576521655,-0.6561808362927583,0.5043912465495218,-0.6681168227506347,0.6570110515800364,0.12745908039580695,0.8369248366649276,-0.047488707411058075,0.5123128938693328,0.28418710424359145,-0.2802320495129135,0.9612058812540488,-0.24992204883488087,-0.11172654598831397,-0.3306609840583074,0.5914912069455939,0.16734507824194786,-0.40275816468525466,-0.5060046686623539,-0.4424272005639043,0.46111034340510143,-0.44391783223579384,0.2491813241034777,0.04032259650753807,0.7022542414345231,-0.9122339552855472,0.5977305191315239,-0.5942344039191503,0.6893201968703724,0.3607567325400301,-0.2861056450862559
"XM_008339015,1",0.614965298814948,-0.8698283669947607,1.0,0.17145312086198397,0.6946137786776271,-0.112680415672738,-0.517342111482051,0.023515101163857268,-0.509929495342355,0.10488708318432552,-0.9260586636200774,-0.4586378245979376,0.7297856689150338,-0.284779932977448,-0.9717593571386609,0.16751119793794614,-0.17907611808338866,-0.5752912805764291,-0.3517540625824485,0.6744040623496552,0.10234580537937801,0.8205190090945457,-0.7937262908554711,-0.6826948865257301,0.009615261377955493,-0.7500121317463104,0.10514679460217671,0.5637084728618686,0.8885100655484575,0.27121293992746576,-0.5291124553378891,0.23902337928467285,0.7065838001499967,-0.8522738950972564,-0.34373007375502407,0.24276886411406384,0.06750529915833925,0.5738746014207513,-0.3048286600456132,-0.06937389378788035,0.7123265834255351,-0.1505325824600977,-0.5142318581079276,0.6353541268059487,0.3975755069471192,-0.47718827996160673,0.5965964854332796,-0.262887958857726,0.6250877196387201,-0.6803666331331206,0.1273342467588116,-0.5293474798056359,-0.5850279886571896,-0.18481496163007927,0.5440161530974144,0.10350575893928665,-0.6168200848900417,0.9212629707935566,0.26506115710867123,-0.7998268118547357,0.5936340018555537,-0.4144133515433302,0.6292402013696878,-0.6194117170371206,-0.0768750176822482,-0.8400814921546114,-0.08775226360920656,-0.6043403355877238,0.015497197348728106,0.6380190906277841,-0.8556177892174589,0.21529055847411688,-0.09737326118026261,-0.13097751715313177,-0.8941144121345478,-0.10752636977857033,0.34190196710919857,0.2389624817103501,0.6573509435719675,-0.5219430994702133,0.3094616520423779,-0.2630521895472279,0.012925413262004795,-0.7424890857021093,0.6857253245196911,-0.7527464395603055,0.38676115749767814,-0.6190595470879817,-0.43121202418374144,0.1343490592154212
"XM_008378862,1",-0.45056128714657484,-0.4588081104872827,0.17145312086198397,1.0,0.7356873518417315,0.11353374916204947,0.42473717056462335,-0.2177296955118232,0.3415166045270355,-0.9177052438281023,-0.12557199759194557,0.6176892102055617,-0.18302438161195206,0.6472216341741198,0.023117889441587873,0.622048669709564,0.7809915248736309,-0.15815194930735352,-0.2240486606715129,0.649569132500567,0.6198468713712633,0.614672180724797,-0.4811393126069875,0.44442844196425196,0.3329986497388945,-0.07467518484671735,0.14610098695439466,-0.433704885909545,0.4533398488533336,-0.49665805417350717,0.6040191898028328,-0.7562990718050535,0.708775597255849,0.22100074831811542,-0.53918548845937,-0.5304707444171083,-0.8892202948957697,-0.258013960525848,-0.6250803071364895,-0.7477573646675982,0.5984547937413017,0.40113138683731575,-0.36542491303150704,-0.40352938828382184,0.5570557432637512,0.5723828183072345,-0.32173787883361216,-0.08539904393468163,-0.2242232089798881,0.43855661475444435,0.44231603469478575,-0.5793025516970937,-0.6537952995439094,-0.5251080739563914,-0.6136601473449557,0.29753725765761996,-0.6444096077575899,0.5139856720965476,-0.07176487461022643,-0.0029316612363603275,-0.13120739528795666,-0.4587389498776192,0.2645222074762572,0.22612711833183533,-0.8282122143596429,-0.2199170992256474,-0.1515259156911682,0.5095217329396792,-0.5108287756766303,-0.30178166782749366,-0.2718646240752215,0.7896542681289983,0.8776882808891395,0.5152207149772435,-0.0005867979356977983,0.5962554263733475,0.8169678722834949,0.9558178454601783,-0.5315211403549704,0.5177369369656862,-0.31572536545035695,0.5318407682700279,-0.7288215782155408,-0.3305529208017468,0.3499339627832911,0.3918418625244174,0.8259894449231553,0.12336486986534698,-0.3757979602332383,-0.39869708213761157
"XM_008381409,1",0.0482598328754736,-0.7189320005915227,0.6946137786776271,0.7356873518417315,1.0,-0.13207745250069175,0.0938343753901765,0.19237251320752977,-0.20448633625059529,-0.6132199579758726,-0.6890106904048267,0.28283541129488454,0.5148712440621738,0.4005835273879276,-0.5399031106515917,0.580230504842999,0.48630826738319805,-0.5882287048968149,-0.6421391405580107,0.9712510863833751,0.7263959070445345,0.9146376372028391,-0.8853412749500262,-0.0032562068087061,0.43350974430249367,-0.5139293788041454,0.3707505494731356,-0.1219514599600671,0.8920993706378165,-0.38357697982385464,0.2287391352757941,-0.29748764474349204,0.998292969333269,-0.2591368397071163,-0.6399034707644623,-0.4138006926067771,-0.5819607271581386,-0.07520866938982353,-0.7109079551499797,-0.2895620597898319,0.9312727776317952,0.43857931288020985,-0.7562632904457803,0.001244520962900745,0.5075963743550499,0.10035717381712107,0.03350893104899662,-0.02542690058735577,0.19276835807249057,0.019148047254547506,0.5941128236425256,-0.8610792190920112,-0.8017988765161587,-0.6395460562556307,-0.1964244014683513,0.22864840915435522,-0.9698338472236347,0.8521540709537471,-0.09160872078632658,-0.42922144661829376,-0.0007066829179642901,-0.499905300458429,0.2930460103785427,-0.07835683842867248,-0.7243973486882291,-0.7198395981410771,-0.04744278623324262,0.11016271485322134,-0.4562709266433452,0.40430368977932224,-0.5300836409110753,0.837166551283384,0.6005365339121483,0.21032350334709182,-0.5446814686995268,0.5199039940753758,0.909741342874571,0.8013721972331356,-0.02133467740608279,0.203895803117074,-0.06880308745961256,0.4520261271486846,-0.6138625658968753,-0.7296464468161691,0.4404300124479522,-0.08794261341655127,0.8442922869007531,-0.15856386043264772,-0.3702428848486014,-0.2699687145359025
"XM_008372268,1",0.05600440520678246,0.06955028520882402,-0.112680415672738,0.11353374916204947,-0.13207745250069175,1.0,-0.36149279173286525,-0.5876223338524741,0.32745384308049835,0.025417527265670037,-0.10937664199243044,0.04253683308194887,-0.24387628653996749,-0.05449357110719769,0.0033900296132399546,-0.11540467074007922,0.40618054872501685,-0.39155070538045345,0.575937502562805,-0.17280697825760202,-0.3340758208763881,-0.15526002317999157,-0.041392339473296916,-0.10747554923895418,0.3797607006759774,-0.1168189747278411,0.29597640867867675,-0.015332112866033672,0.07233006695077658,0.16664658186672002,0.06066883278306401,0.17062401526016757,-0.14864026006502448,-0.10888204523602567,0.6852791779053795,0.05457464231773409,0.24009426470854875,0.08677925721961735,-0.29626955512468317,-0.2854174969846258,-0.050710745535661635,0.18055040508411935,-0.059838542322560286,0.036875857780541206,-0.41021624361881753,0.02402098592599057,-0.32719345103355485,0.526430545293285,0.05311796102416667,0.03162187882256136,0.012706167076813712,-0.03760434145685502,0.027359256981161515,-0.21508786043579126,0.12389418978165347,0.10409822834391895,0.2474173947562918,-0.16401796436476784,0.24741131696734434,-0.19190358446011643,0.04455358920175462,-0.7274923696742421,0.44396116831140936,-0.21451147071002066,-0.14801887354975224,0.4370951919694819,-0.8417043101712315,0.08537729553725158,0.2481257263531536,-0.2396174134887191,0.10535834730356276,-0.060440025749611916,-0.18679489568016902,-0.20164538531717952,-0.052059720905453674,-0.18054723775343637,-0.1120858094683288,-0.17221482409205055,-0.3761272201124714,-0.05499440468455675,-0.2879004275838711,-0.08571469285843765,0.3399065516613173,0.6788816774560483,0.19045258083516994,-0.09603953988102354,-0.42236992595373085,-0.26247140997944596,-0.7246764920326528,0.0012557402746533907
"XM_008357852,1",-0.9306934776786616,0.4435146815890346,-0.517342111482051,0.42473717056462335,0.0938343753901765,-0.36149279173286525,1.0,0.4128599518807876,0.6117323794545024,-0.721894436701605,0.5715649844613504,0.859000371518883,-0.3102481516435522,0.8803881489236189,0.6587958571100176,0.6641568193723879,0.5420031175208039,0.3117798774422529,-0.43364140583666216,0.17834504137524496,0.6312503082684636,0.019310324664170795,0.3292920907560953,0.9465971822075404,0.2862970149777566,0.23567908756286768,0.22252902915961106,-0.8776277384818019,-0.32162214782910653,-0.8630889174426027,0.8323351706769955,-0.8016922129343608,0.09998175593934878,0.8719842899780462,-0.2853199080303879,-0.8126624603267789,-0.644918173247701,-0.797015504134541,-0.31333493757755626,-0.21939244598172808,0.10658294845295527,0.38475335402602656,-0.12167421546722032,-0.9373782557804997,-0.002610583422553514,0.8930196411894991,-0.3011749369588258,-0.1057555677216179,-0.8792144541012423,0.8809644061632039,0.525431454573951,-0.23097980527716686,-0.2736407107152888,-0.4009250506393112,-0.9280648590896571,0.4551910329401764,-0.1543611104028809,-0.25565117847219737,-0.7603832699182462,0.8485451381142574,-0.6691345429142098,0.4668185940783336,-0.49498335524180914,0.9501707484540326,-0.5652598384865436,0.3590336199617472,0.16927391015852766,0.8628832674437348,-0.1800234835670678,-0.4079499957135673,0.5342921295677806,0.5043371062662931,0.7919108770462732,0.1425653708123305,0.4552546339293568,0.8289844020426476,0.41573893004120477,0.4829725212856838,-0.6178779847194442,0.8997225361602842,-0.6427238577711144,0.694857675816717,-0.8399476207758428,-0.06776395510076737,-0.6251091276283895,0.9192283302533981,0.41664681865400793,0.9265694205733983,0.2692682884279578,-0.7392294413699441
"XM_008365216,1",-0.12727164582588435,0.3180835536268288,0.023515101163857268,-0.2177296955118232,0.19237251320752977,-0.5876223338524741,0.4128599518807876,1.0,-0.23456049984154828,-0.06947126933118689,-0.1113637974829543,0.3033426337345493,0.6253249896575869,0.3793058255979651,-0.006641176971174769,0.3387614199688048,0.0176366040937215,-0.27277890852314973,-0.8668961304092822,0.36508817455487025,0.6114313871725929,0.12529621656297296,-0.08264577864151387,0.2680016857324367,0.43000908532116866,-0.22606183337331265,0.5443628605327524,-0.40838711009227124,0.09927988114442013,-0.591317741431626,0.24931176881303377,0.09799011245255039,0.23435470072258888,0.23807620495052934,-0.1848112220904645,-0.5402348085063514,0.02800929755988789,-0.5781828418274169,-0.26517443076018565,0.6702659695982818,0.31675017498995317,0.46695469889102786,-0.5423226991582525,-0.3162277660168379,-0.316227766016838,0.08224932919191418,0.06268464626615189,0.2099061675353689,-0.2356000322661106,0.2790775060349015,0.6163260192407101,-0.4215861774277729,-0.17411128562750908,-0.4401036354857686,-0.23951815241656116,0.16957220109757254,-0.3819167096749677,-0.06825966684257406,-0.7324788085045891,0.2748517266721549,-0.5885192732681352,0.4330893610534407,-0.6250994286660846,0.4822281380963674,-0.22900663034593063,-0.16905983310382505,0.3061525532043164,0.2667167384572437,-0.049134148999830894,0.6149747696963941,0.3914266403776375,0.37077542235576577,0.15514568101638979,-0.37233451155084213,-0.16954853181716653,0.5457370959417049,0.3159984992787809,-0.03011397649282088,0.06877813608035548,0.3968531409196669,-0.22366661450739825,0.531283957579022,-0.42560448857721167,-0.3416033404353819,-0.6498533783523721,0.22631187361389427,0.13498760336159998,0.4984350198853628,0.38782057330030106,-0.39999819998740005
"XM_008395865,1",-0.8507239522123844,0.41806522342638336,-0.509929495342355,0.3415166045270355,-0.20448633625059529,0.32745384308049835,0.6117323794545024,-0.23456049984154828,1.0,-0.45140616563743735,0.5512312620557972,0.5803749418662909,-0.5915897057272781,0.6085185224654917,0.540909035321874,0.5628196223411778,0.5249211766287529,0.2571430490896894,0.21577501059006857,-0.13886407392734265,0.0067305558600216885,-0.0838500404483031,0.538544554062025,0.6593130295636851,0.20261079304431098,0.02067030770236596,0.17231976632611118,-0.5980757815824356,-0.3960766530215086,-0.4548593318673427,0.5354367407915916,-0.7085460962161566,-0.2038196401021021,0.5984538372734012,0.3393153065671276,-0.4719668897469231,-0.2628594307500825,-0.3563965945628054,-0.31319217091918217,-0.6124757816455177,-0.06601042301036202,0.006903508979396496,0.09022041497360536,-0.7376388329320497,-0.26039855852707516,0.8733061241473216,-0.10023793244421043,-0.15407779815924066,-0.8667582489215693,0.6250161712532408,0.256360807221414,-0.03426365641458847,-0.27649014838924124,-0.27377825748915274,-0.582675996499337,0.7142891254521438,0.3145834159436027,-0.3205006855904854,-0.48245370591979614,0.7276318280387922,-0.21357221291249034,0.14054678629192754,0.14504141848485902,0.669797552804975,-0.3602249478164384,0.7537646907072795,-0.5089037495178584,0.6357999098800412,0.3949129400162569,-0.7541257151748724,0.3976087554433136,0.09567434754432055,0.44542970775677465,-0.16369205338885626,0.2942460462151067,0.4571512674845147,-0.0025808687674312826,0.17543606019707614,-0.567372510532296,0.5515304495428612,-0.8267180897001671,0.17605577409152867,-0.41215063299124316,0.3730509496406126,-0.35937452130285424,0.637013318385445,-0.05233229095196336,0.6717363333102281,-0.3517607002697678,-0.7188427216282605
"XM_008347928,1",0.6956877568421587,0.12150762879174515,0.10488708318432552,-0.9177052438281023,-0.6132199579758726,0.025417527265670037,-0.721894436701605,-0.06947126933118689,-0.45140616563743735,1.0,-0.10847152090122548,-0.8650786544256502,0.2134764387588661,-0.873833175265504,-0.3020894926239325,-0.7145703568282703,-0.865486858411618,0.07719354342866774,0.3913996680438781,-0.5865375068231071,-0.7898723404234506,-0.4419772206679054,0.27987520517679987,-0.7422009552632873,-0.4719793769344539,-0.05611741768936393,-0.2908081379631831,0.7388910330631021,-0.2374573127090488,0.7757708738223171,-0.851470636043544,0.8328850447296093,-0.5955802265401032,-0.5486508900681224,0.5022690348066914,0.787085768111588,0.9249853265625232,0.6049920412607329,0.6456112558247492,0.5620333080494425,-0.5122664936871887,-0.5877226918790402,0.3947628991506468,0.7056282210307988,-0.35593288760840525,-0.7696569132022714,0.4679162335907968,-0.036542725774651466,0.5020643541265153,-0.7366051969546241,-0.6129000281116043,0.5767843846673915,0.5734599251657941,0.6277598222898585,0.865463788923593,-0.35585893000832836,0.5946361745284872,-0.2443634028421089,0.38723717327958834,-0.32460604562762363,0.4782410306026541,0.21395367439593793,0.08427472621769962,-0.5698436554342104,0.9042739057865177,0.022486158084958966,0.054090637915824934,-0.7848694923059596,0.5223540611717041,0.3198334772000914,-0.08563202785062544,-0.8614472951882075,-0.9841330431049211,-0.4393137024491475,-0.1979147780239619,-0.8198866416833963,-0.8351662508256464,-0.9065614118655844,0.7147968646008787,-0.808111348527813,0.5037636742083577,-0.7786987369687784,0.8921258382753544,0.2307902624161891,0.039930919753815367,-0.6937204567114368,-0.7774978909695116,-0.47072625577183685,0.1600654577409966,0.5922865782562443
