Gene Ref,Centrality Score
"XM_008367891,1",1.0
"XM_008380349,1",0.9821727613469642
"XM_008346127,1",0.9791237576711695
"XM_008392497,1",0.9766268500709507
"XM_008387564,1",0.9760948798204783
"XM_008392658,1",0.9592773297547215
"XM_008340249,1",0.9583614573327479
"XM_008359318,1",0.9556510682440993
"XM_008349498,1",0.9532910811132053
"XM_008361055,1",0.9376529321742749
"XM_008381409,1",0.9289380574811082
"XM_008343281,1",0.9246081470202161
"XM_008377120,1",0.917390107722842
"XM_008385618,1",0.9125463218789142
"XM_008393407,1",0.9028812621320044
"XM_008357031,1",0.8878167401585572
"XM_008348542,1",0.8853108111945225
"XM_008342489,1",0.8786720979462443
"XM_008349204,1",0.874730289210484
"XM_008395973,1",0.8652678009985028
"XM_008357852,1",0.863878767890725
"XM_008365736,1",0.86114996076032
"XM_008377122,1",0.8569871031300189
"XM_008358718,1",0.8558000909804875
"XM_008375822,1",0.8516313297712907
"XM_008352977,1",0.8458705242040162
"XM_008375050,1",0.8398817094276474
"XM_008351730,1",0.8320389088806229
"XM_008358077,1",0.8312716288821052
"XM_008370181,1",0.8263801764142763
"XM_008378862,1",0.8187678609855596
"XM_008344638,1",0.8174493538025703
"XM_008341462,1",0.8131801534433489
"XM_008392645,1",0.8077385548521518
"XM_008373586,1",0.7921814328394476
"XM_008375404,1",0.7895273373310254
"XM_008395865,1",0.7845507221168068
"XM_008392579,1",0.7831940387141426
"XM_008357035,1",0.7798308788439324
"XM_008389619,1",0.7589997810332823
"XM_008348256,1",0.7521116244155577
"XM_008390007,1",0.7511607814508522
"XM_008382862,1",0.7488578731490725
"XM_008392118,1",0.7443706928203728
"XM_008366899,1",0.7326413279082076
"XM_008372268,1",0.7287974541012352
"JN381497,1",0.7211775597862672
"XM_008348634,1",0.7186880894667425
"XM_008341644,1",0.7145090549910031
"XM_008352752,1",0.7061607293526342
"XM_008382964,1",0.6973903451839376
"XM_008388172,1",0.6835473714194232
"XM_008375174,1",0.6794236350397089
"XM_008346320,1",0.6780946626071355
"XM_008358066,1",0.6686576768274822
"XM_008390606,1",0.6632098306786799
"XM_008368498,1",0.66180181048055
"XM_008353031,1",0.6557179606815002
"XM_008353259,1",0.6396322343607165
"XM_008388475,1",0.6323071136578381
"XM_008356729,1",0.6211017464578866
"XM_008348226,1",0.6081171606255767
"XM_008391412,1",0.6071221317950317
"XM_008366883,1",0.5850275079294103
"XM_008342092,1",0.5837361140724375
"XM_008378954,1",0.5817033604586251
"XM_008360876,1",0.5609613309335041
"XM_008378026,1",0.5243090193363223
"XM_008339343,1",0.5230131549474342
"XM_008371859,1",0.513683364978681
"XM_008369353,1",0.5111574021119345
"XM_008339015,1",0.5053211779375735
"XM_008346561,1",0.4938954265007932
"XM_008353321,1",0.4714596063001189
"XM_008351661,1",0.4689709658959465
"XM_008346417,1",0.458547128999859
"XM_008395429,1",0.4571341345397427
"XM_008352749,1",0.4298469213043436
"XM_008364242,1",0.4083640476867625
"XM_008366401,1",0.39676046202016807
"XM_008375192,1",0.3845662492276182
"XM_008340728,1",0.36701192422558915
"XM_008379224,1",0.35650510705276267
"XM_008370383,1",0.35174356860172307
"XM_008372502,1",0.3447809305437221
"XM_008352864,1",0.330749513426858
"XM_008364214,1",0.28358431621976626
"XM_008347928,1",0.27294314563016636
"XM_008382874,1",0.2662019170083376
"XM_008346577,1",0.2641567508712904
"XM_008386805,1",0.19966254950353174
